link,property,avg_nightly,avail,booked,last_avail,pct_booked,num_reviews,avg_score
https://www.airbnb.com/rooms/10656126,maui_vista,196,38,25,2026-05-30,40%,166,4.81
https://www.airbnb.com/rooms/1173408198220862708,kamaole_sands,365,80,14,2026-06-29,15%,10,4.6
https://www.airbnb.com/rooms/13225921,kamaole_sands,344,66,19,2026-06-20,22%,200,4.88
https://www.airbnb.com/rooms/1351674021070226317,kamaole_sands,308,54,37,2026-06-29,41%,1,5.02
https://www.airbnb.com/rooms/14895700,kamaole_sands,258,28,32,2026-05-30,53%,79,4.82
https://www.airbnb.com/rooms/1494594522868451704,kamaole_sands,347,42,21,2026-05-31,33%,7,5.0
https://www.airbnb.com/rooms/1515547004809606902,maui_vista,246,54,37,2026-06-29,41%,12,5.01
https://www.airbnb.com/rooms/1573469505878553212,maui_vista,193,12,21,2026-04-30,64%,7,4.86
https://www.airbnb.com/rooms/1579709870450109135,maui_vista,277,94,0,2026-06-29,0%,2,5.17
https://www.airbnb.com/rooms/20048859,kamaole_sands,215,52,42,2026-06-30,45%,55,4.82
https://www.airbnb.com/rooms/31704158,maui_vista,248,50,43,2026-06-29,46%,131,4.7
https://www.airbnb.com/rooms/32961319,kamaole_sands,374,56,8,2026-05-30,12%,135,4.94
https://www.airbnb.com/rooms/36351502,kamaole_sands,262,54,23,2026-06-14,30%,145,4.99
https://www.airbnb.com/rooms/43390500,kamaole_sands,231,42,52,2026-06-29,55%,0,5.04
https://www.airbnb.com/rooms/46194280,maui_vista,244,63,1,2026-05-30,2%,203,4.87
https://www.airbnb.com/rooms/47354990,kamaole_sands,328,34,50,2026-06-21,60%,76,4.89
https://www.airbnb.com/rooms/48874217,maui_vista,200,34,24,2026-05-25,41%,117,4.87
https://www.airbnb.com/rooms/49931996,kamaole_sands,285,54,34,2026-06-25,39%,69,4.88
https://www.airbnb.com/rooms/564846980716582592,kamaole_sands,347,36,55,2026-06-30,60%,6,4.67
https://www.airbnb.com/rooms/573474217916601002,kamaole_sands,368,50,43,2026-06-30,46%,46,4.98
https://www.airbnb.com/rooms/582663501443755788,maui_vista,266,42,40,2026-06-24,49%,190,4.96
https://www.airbnb.com/rooms/659882298811850147,kamaole_sands,307,14,37,2026-05-18,73%,81,4.99
https://www.airbnb.com/rooms/733608330309904024,kamaole_sands,171,68,23,2026-06-29,25%,63,4.87
https://www.airbnb.com/rooms/756031921076238815,maui_vista,293,62,29,2026-06-29,32%,129,4.97
https://www.airbnb.com/rooms/849431309111773968,maui_vista,325,77,15,2026-06-30,16%,99,4.83
https://www.airbnb.com/rooms/859411360329483540,kamaole_sands,287,66,26,2026-06-30,28%,9,5.05
https://www.airbnb.com/rooms/886402393022040490,maui_vista,253,27,52,2026-06-21,66%,116,4.97
https://www.airbnb.com/rooms/947888229024493083,maui_vista,286,50,13,2026-05-31,21%,34,4.97
https://www.airbnb.com/rooms/960849307156992001,maui_vista,294,70,24,2026-06-30,26%,99,4.95
https://www.airbnb.com/rooms/983678966634889713,kamaole_sands,275,16,40,2026-05-24,71%,23,4.83
https://www.airbnb.com/rooms/990833735613623342,maui_vista,269,62,31,2026-06-30,33%,66,4.88
