year_month,property,calculated,nights,avg_per_night
2023-05,PM 1105,2730.07,20,136.50
2023-06,PM 1105,4478.34,28,159.94
2023-07,PM 1105,5795.94,35,165.60
2023-07,PM 2505,65.86,1,65.86
2023-08,PM 1105,4795.52,27,177.61
2023-08,PM 2505,846.73,7,120.96
2023-09,PM 1105,3863.34,22,175.61
2023-09,PM 2505,1000.94,6,166.82
2023-10,PM 1105,5581.53,31,180.05
2023-10,PM 2505,5406.87,33,163.84
2023-11,PM 1105,3959.38,25,158.38
2023-11,PM 2505,5092.54,29,175.60
2023-12,PM 1105,6110.90,33,185.18
2023-12,PM 2505,5494.39,24,228.93
2024-01,PM 1105,6347.98,36,176.33
2024-01,PM 2505,4853.33,26,186.67
2024-02,PM 1105,4854.99,28,173.39
2024-02,PM 2505,5339.43,28,190.69
2024-03,PM 1105,5131.47,27,190.05
2024-03,PM 2505,5010.36,27,185.57
2024-04,PM 1105,5558.80,34,163.49
2024-04,PM 2505,4666.81,26,179.49
2024-05,PM 1105,6119.52,34,179.99
2024-05,PM 2505,5870.32,33,177.89
2024-06,PM 1105,3386.89,19,178.26
2024-06,PM 2505,5670.18,29,195.52
2024-07,PM 1105,6048.05,34,177.88
2024-07,PM 2505,5684.38,28,203.01
2024-08,PM 1105,4752.89,25,190.12
2024-08,PM 2505,5910.11,31,190.65
2024-09,PM 1105,6071.58,34,178.58
2024-09,PM 2505,4744.82,27,175.73
2024-10,PM 1105,3935.43,22,178.88
2024-10,PM 2505,5100.94,29,175.89
2024-11,PM 1105,5216.49,29,179.88
2024-11,PM 2505,3434.12,20,171.71
2024-12,PM 1105,5194.46,26,199.79
2024-12,PM 2505,6865.49,33,208.05
2025-01,PM 1105,5353.50,28,191.20
2025-01,PM 2505,4673.32,25,186.93
2025-02,PM 1105,4353.09,24,181.38
2025-02,PM 2505,5007.51,26,192.60
2025-03,PM 1105,3766.14,23,163.75
2025-03,PM 2505,4837.12,28,172.75
2025-04,PM 1105,3972.33,24,165.51
2025-04,PM 2505,7654.25,45,170.09
2025-05,PM 1105,4654.10,27,172.37
2025-05,PM 2505,3403.82,17,200.22
2025-06,PM 1105,5553.42,30,185.11
2025-06,PM 2505,4929.21,29,169.97
2025-07,PM 1105,5411.81,29,186.61
2025-07,PM 2505,4623.50,25,184.94
2025-08,PM 1105,4282.81,24,178.45
2025-08,PM 2505,3815.19,23,165.88
2025-09,PM 1105,5453.21,31,175.91
2025-09,PM 2505,4273.59,25,170.94
2025-10,MV 1321,122.32,2,61.16
2025-10,PM 1105,4645.57,28,165.91
2025-10,PM 2505,4540.06,27,168.15
2025-11,MV 1321,4346.88,29,149.89
2025-11,PM 1105,3737.70,24,155.74
2025-11,PM 2505,5013.44,90,55.70
2025-12,MV 1321,6560.73,28,234.31
2025-12,PM 1105,5706.04,29,196.76
2025-12,PM 2505,6492.05,26,249.69
2026-01,MV 1321,6087.37,29,209.91
2026-01,PM 1105,4337.77,24,180.74
2026-01,PM 2505,4220.94,29,145.55
2026-02,MV 1321,5860.81,28,209.31
2026-02,PM 1105,4352.61,25,174.10
2026-02,PM 2505,2565.53,15,171.04
2026-03,MV 1321,5261.16,28,187.90
2026-03,PM 1105,5066.40,38,133.33
2026-03,PM 2505,5423.38,31,174.95
